time/iterations,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/n_updates,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/policy_loss,train/explained_variance,train/entropy_loss,train/learning_rate
100,19.791666666666668,500,9.488478660583496,99,0,19.791666666666668,2965,1.9343998432159424,0.12083131074905396,-0.6923230886459351,0.0007
200,24.341463414634145,1000,7.38638162612915,199,0,24.341463414634145,3018,1.505557894706726,0.012739777565002441,-0.6557828187942505,0.0007
300,27.145454545454545,1500,203.26486206054688,299,0,27.145454545454545,3090,-5.765656471252441,0.023282945156097412,-0.6713907122612,0.0007
400,29.102941176470587,2000,6.104058265686035,399,0,29.102941176470587,3126,1.2534383535385132,-0.013463139533996582,-0.6736128926277161,0.0007
500,33.306666666666665,2500,4.989651679992676,499,0,33.306666666666665,3151,1.3654454946517944,0.008448779582977295,-0.5335572361946106,0.0007
600,35.890243902439025,3000,4.800843715667725,599,0,35.890243902439025,3174,1.2488349676132202,0.0041582584381103516,-0.621803879737854,0.0007
700,39.25,3500,4.221368312835693,699,1,39.25,3196,1.3039524555206299,0.012505590915679932,-0.6199547052383423,0.0007
800,41.65934065934066,4000,3.693505048751831,799,1,41.65934065934066,3216,0.9414475560188293,-0.005715489387512207,-0.6428281664848328,0.0007
900,44.1578947368421,4500,3.183831214904785,899,1,44.1578947368421,3228,1.0397337675094604,0.0003656148910522461,-0.6449242234230042,0.0007
1000,50.313131313131315,5000,2.705601930618286,999,1,50.313131313131315,3238,0.48754554986953735,-0.0006469488143920898,-0.49434804916381836,0.0007
1100,53.7,5500,2.256387710571289,1099,1,53.7,3236,0.6831939220428467,4.57763671875e-05,-0.639318585395813,0.0007
1200,57.89,6000,1.8448385000228882,1199,1,57.89,3237,0.8650363683700562,0.0003941655158996582,-0.5493958592414856,0.0007
1300,59.51,6500,1.4723964929580688,1299,2,59.51,3242,0.48893851041793823,0.00010097026824951172,-0.5932997465133667,0.0007
1400,68.24,7000,1.1469905376434326,1399,2,68.24,3246,0.36073583364486694,6.645917892456055e-05,-0.5995973348617554,0.0007
1500,70.65,7500,0.8622779846191406,1499,2,70.65,3240,0.30471357703208923,-2.193450927734375e-05,-0.5355075001716614,0.0007
1600,74.06,8000,0.6134420037269592,1599,2,74.06,3233,0.45129328966140747,-5.888938903808594e-05,-0.5535532236099243,0.0007
1700,81.65,8500,0.40997982025146484,1699,2,81.65,3237,0.6555372476577759,8.863210678100586e-05,-0.3841601610183716,0.0007
1800,84.32,9000,0.24487952888011932,1799,2,84.32,3239,0.39310187101364136,-8.20159912109375e-05,-0.43473348021507263,0.0007
1900,89.15,9500,0.12415583431720734,1899,2,89.15,3243,0.30901044607162476,0.00017070770263671875,-0.40950554609298706,0.0007
2000,96.57,10000,0.043961476534605026,1999,3,96.57,3249,0.0378258042037487,-9.715557098388672e-05,-0.4787495732307434,0.0007
